,gender,address,image_url,language,format,vandalized,Sitong Bridge,Xi Jinping,Raise Awareness,Ugyhur or Hong Kong,Women's rights or Queer Rights,Iran or Ukraine,University,Special Location,Event,timestamp,filename,chalk,graffiti,hand-written message,large poster / sign,letter,other,photography,poster,protest,small sign,sticker,Chinese,English,Italian,Traditional Chinese,french,german,japanese,korean,spanish,latitude,longitude,country
0,Female,University of Connecticut McMahon Residence hall,,"['English', 'Chinese']",['poster'],,,True,,,,,True,,,2022-10-31,2022_10_31_699159.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,,,
1,Female,The University of Queensland ,,"['English', 'Chinese']",['poster'],True,True,True,,,,,True,,,2022-10-25,2022_10_25_134167.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,-27.49741805,153.01316955983583, Australia
2,,School of the Art Institute of Chicago,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-11-02,2022_11_02_549722.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,41.8789896,-87.62149960084983, United States
3,Female,University of Southern California ,,['Chinese'],['poster'],,True,True,,,,,True,,,2022-11-08,2022_11_08_606002.jpg,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,34.0218833,-118.28586662125, United States
4,,,,['Traditional Chinese'],['photography'],,,,,True,,,,,,2022-11-06,2022_11_06_706172.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,44.933143,7.540121, Italia
5,,UC Berkeley,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-13,2022_10_13_115552.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,37.8753497,-122.23963364918777, United States
6,Male,Birmingham city centre ,,"['English', 'Chinese']","['poster', 'hand-written message']",,True,True,,,,,,,,2022-10-17,2022_10_17_316109.jpg,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,52.476085,-1.8984913581365301, United Kingdom
7,Male,杜伦大学,,"['English', 'Chinese']","['poster', 'hand-written message']",True,True,True,,,,,True,,,2022-11-01,2022_11_01_585050.jpg,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,51.96734215,7.599243326272159, Deutschland
8,Female,"13e arrondissement, Paris",,"['English', 'Chinese']",['poster'],True,True,True,True,,,True,,,,2022-11-02,2022_11_02_952829.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,48.8323973,2.3555829, France
9,,Stanford University,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-14,2022_10_14_615161.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,37.431313849999995,-122.16936535498309, United States
10,Non-binary,Marquette University AMU ,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-10-14,2022_10_14_963595.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,,,
11,Female,The New School,,"['English', 'Chinese']",['graffiti'],,,True,,,,,True,,,2022-10-31,2022_10_31_391001.jpg,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,40.73547915,-73.9970708835668, United States
12,Non-binary,HKU,,['English'],['hand-written message'],,True,,,,,,True,,,2022-10-23,2022_10_23_785215.jpg,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,22.28269745,114.13845499995571, 中国
13,Male,Illinois Institute of Technology,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-10-13,2022_10_13_949995.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,41.8352554,-87.62643622073041, United States
14,,,,['Traditional Chinese'],['photography'],,,,,True,,,,,,2022-11-06,2022_11_06_268012.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,44.933143,7.540121, Italia
15,Female,The New School,,"['English', 'Chinese']",['graffiti'],,,True,,,,,True,,,2022-10-31,2022_10_31_136074.jpg,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,40.73547915,-73.9970708835668, United States
16,Female,University of Washington ,,"['English', 'Chinese']",['poster'],,True,True,,,,,True,,,2022-11-05,2022_11_05_645961.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,47.6543466,-122.30806059473039, United States
17,,CUNY Graduate Center,,"['English', 'Chinese']",['poster'],,True,,,,,,True,,,2022-11-05,2022_11_05_613891.jpg,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,40.748518849999996,-73.98363927431237, United States
