,gender,address,image_url,language,format,vandalized,Sitong Bridge,Xi Jinping,Raise Awareness,Ugyhur or Hong Kong,Women's rights or Queer Rights,Iran or Ukraine,University,Special Location,Event,timestamp,filename,chalk,graffiti,hand-written message,large poster / sign,letter,other,photography,poster,protest,small sign,sticker,Chinese,English,Italian,Traditional Chinese,french,german,japanese,korean,spanish,latitude,longitude,country
192,,温哥华岛大学,,"['English', 'Chinese']",['poster'],,,TRUE,,,,,TRUE,,,2022-10-12,2022_10_12_625454.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Canada
5,,UC Berkeley,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_115552.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37.8753497,-122.2396336,United States
13,Male,Illinois Institute of Technology,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_949995.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41.8352554,-87.62643622,United States
25,,Western University,,"['Chinese', 'English']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_245426.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.7139413,-117.0372503,United States
34,Male,Illinois Institute of Technology,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_579022.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41.8352554,-87.62643622,United States
69,,Boston University,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_626298.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.3501894,-71.10070118,United States
72,,Cornell University,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_335194.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.4505507,-76.4783513,United States
129,,University of California San Diego,,['Chinese'],['chalk'],,TRUE,TRUE,,,,,TRUE,,,2022-10-13,2022_10_13_671317.jpg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.87924375,-117.2311247,United States
258,Male,Illinois Institute of Technology,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_829008.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41.8352554,-87.62643622,United States
272,,University of California Berkeley,,"['English', 'Chinese']",['poster'],,TRUE,,,,,,TRUE,,,2022-10-13,2022_10_13_757736.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37.8753497,-122.2396336,United States
